"Indre By",43099
"Christianshavn",13320
"Osterbro",80367
"Norrebro",79601
"Vesterbro",43393
"Kongens Enghave",30782
"Valby",61895
"Vanlose",41158
"Bronshoj-Husum",44548
"Bispebjerg",54631
"Amager Ost",60726
"Amager Vest",80669
