" ","Indre By",3119,9865,984
" ","Christianshavn",743,2728,288
" ","Osterbro",4512,17192,1768
" ","Norrebro",6074,16475,1147
" ","Vesterbro",2518,10218,845
" ","Kongens Enghave",1747,5453,433
" ","Valby",2568,9166,812
" ","Vanlose",1603,6405,605
" ","Bronshoj-Husum",1139,5234,587
" ","Bispebjerg",3028,8003,656
" ","Amager Ost",3403,9805,754
" ","Amager Vest",4207,13355,1199
