" "," ","Indre By",11889730
" "," ","Christianshavn",3410956
" "," ","Osterbro",19917883
" "," ","Norrebro",15445267
" "," ","Vesterbro",10177867
" "," ","Kongens Enghave",6641225
" "," ","Valby",13042892
" "," ","Vanlose",9306080
" "," ","Bronshoj-Husum",8590187
" "," ","Bispebjerg",10271124
" "," ","Amager Ost",13207541
" "," ","Amager Vest",17585586
